test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_04,SA,200.0,0.99,0.1,10,5,2,6,0.04,true
TC_04,SA,200.0,0.999,0.1,10,1,1,4,0.069,true
TC_04,SA,200.0,0.999,0.1,10,2,2,6,0.069,true
TC_04,SA,200.0,0.999,0.1,10,3,1,4,0.077,true
TC_04,SA,200.0,0.999,0.1,10,4,1,4,0.074,true
TC_04,SA,200.0,0.999,0.1,10,5,1,4,0.077,true
TC_05,SA,50.0,0.9,0.1,10,1,3,10,0.044,true
TC_05,SA,50.0,0.9,0.1,10,2,3,10,0.05,true
TC_05,SA,50.0,0.9,0.1,10,3,3,10,0.043,true
TC_05,SA,50.0,0.9,0.1,10,4,3,10,0.045,true
TC_05,SA,50.0,0.9,0.1,10,5,3,10,0.047,true
TC_05,SA,50.0,0.95,0.1,10,1,3,10,0.051,true
TC_05,SA,50.0,0.95,0.1,10,2,3,10,0.051,true
TC_05,SA,50.0,0.95,0.1,10,3,3,10,0.048,true
TC_05,SA,50.0,0.95,0.1,10,4,3,10,0.051,true
TC_05,SA,50.0,0.95,0.1,10,5,3,10,0.049,true
TC_05,SA,50.0,0.99,0.1,10,1,3,10,0.05,true
TC_05,SA,50.0,0.99,0.1,10,2,3,10,0.055,true
TC_05,SA,50.0,0.99,0.1,10,3,3,10,0.059,true
TC_05,SA,50.0,0.99,0.1,10,4,3,10,0.055,true
TC_05,SA,50.0,0.99,0.1,10,5,3,10,0.052,true
TC_05,SA,50.0,0.999,0.1,10,1,3,10,0.081,true
TC_05,SA,50.0,0.999,0.1,10,2,3,10,0.074,true
TC_05,SA,50.0,0.999,0.1,10,3,3,10,0.086,true
TC_05,SA,50.0,0.999,0.1,10,4,3,10,0.081,true
TC_05,SA,50.0,0.999,0.1,10,5,3,10,0.075,true
TC_05,SA,100.0,0.9,0.1,10,1,3,10,0.036,true
TC_05,SA,100.0,0.9,0.1,10,2,3,10,0.048,true
TC_05,SA,100.0,0.9,0.1,10,3,3,10,0.041,true
TC_05,SA,100.0,0.9,0.1,10,4,3,10,0.038,true
TC_05,SA,100.0,0.9,0.1,10,5,3,10,0.037,true
TC_05,SA,100.0,0.95,0.1,10,1,3,10,0.042,true
TC_05,SA,100.0,0.95,0.1,10,2,3,10,0.037,true
TC_05,SA,100.0,0.95,0.1,10,3,3,10,0.033,true
TC_05,SA,100.0,0.95,0.1,10,4,3,10,0.029,true
TC_05,SA,100.0,0.95,0.1,10,5,3,10,0.033,true
TC_05,SA,100.0,0.99,0.1,10,1,3,10,0.043,true
TC_05,SA,100.0,0.99,0.1,10,2,3,10,0.05,true
TC_05,SA,100.0,0.99,0.1,10,3,3,10,0.054,true
TC_05,SA,100.0,0.99,0.1,10,4,3,10,0.049,true
TC_05,SA,100.0,0.99,0.1,10,5,3,10,0.048,true
TC_05,SA,100.0,0.999,0.1,10,1,3,10,0.099,true
TC_05,SA,100.0,0.999,0.1,10,2,3,10,0.163,true
TC_05,SA,100.0,0.999,0.1,10,3,3,10,0.08,true
TC_05,SA,100.0,0.999,0.1,10,4,3,10,0.096,true
TC_05,SA,100.0,0.999,0.1,10,5,3,10,0.1,true
TC_05,SA,200.0,0.9,0.1,10,1,3,10,0.033,true
TC_05,SA,200.0,0.9,0.1,10,2,3,10,0.035,true
TC_05,SA,200.0,0.9,0.1,10,3,3,10,0.04,true
TC_05,SA,200.0,0.9,0.1,10,4,3,10,0.039,true
TC_05,SA,200.0,0.9,0.1,10,5,3,10,0.035,true
TC_05,SA,200.0,0.95,0.1,10,1,3,10,0.038,true
TC_05,SA,200.0,0.95,0.1,10,2,3,10,0.043,true
TC_05,SA,200.0,0.95,0.1,10,3,3,10,0.047,true
TC_05,SA,200.0,0.95,0.1,10,4,3,10,0.034,true
TC_05,SA,200.0,0.95,0.1,10,5,3,10,0.033,true
TC_05,SA,200.0,0.99,0.1,10,1,3,10,0.045,true
TC_05,SA,200.0,0.99,0.1,10,2,3,10,0.049,true
TC_05,SA,200.0,0.99,0.1,10,3,3,10,0.053,true
TC_05,SA,200.0,0.99,0.1,10,4,3,10,0.047,true
TC_05,SA,200.0,0.99,0.1,10,5,3,10,0.046,true
TC_05,SA,200.0,0.999,0.1,10,1,3,10,0.099,true
TC_05,SA,200.0,0.999,0.1,10,2,3,10,0.111,true
TC_05,SA,200.0,0.999,0.1,10,3,3,10,0.097,true
TC_05,SA,200.0,0.999,0.1,10,4,3,10,0.097,true
TC_05,SA,200.0,0.999,0.1,10,5,3,10,0.098,true
TC_06,SA,50.0,0.9,0.1,10,1,7,25,0.044,true
TC_06,SA,50.0,0.9,0.1,10,2,7,25,0.048,true
TC_06,SA,50.0,0.9,0.1,10,3,7,25,0.046,true
TC_06,SA,50.0,0.9,0.1,10,4,7,25,0.049,true
TC_06,SA,50.0,0.9,0.1,10,5,7,25,0.054,true
TC_06,SA,50.0,0.95,0.1,10,1,7,25,0.052,true
TC_06,SA,50.0,0.95,0.1,10,2,7,25,0.057,true
TC_06,SA,50.0,0.95,0.1,10,3,7,25,0.05,true
TC_06,SA,50.0,0.95,0.1,10,4,7,25,0.049,true
TC_06,SA,50.0,0.95,0.1,10,5,7,25,0.053,true
TC_06,SA,50.0,0.99,0.1,10,1,7,25,0.055,true
TC_06,SA,50.0,0.99,0.1,10,2,7,25,0.048,true
TC_06,SA,50.0,0.99,0.1,10,3,7,25,0.042,true
TC_06,SA,50.0,0.99,0.1,10,4,7,25,0.053,true
TC_06,SA,50.0,0.99,0.1,10,5,7,25,0.053,true
TC_06,SA,50.0,0.999,0.1,10,1,7,25,0.078,true
TC_06,SA,50.0,0.999,0.1,10,2,7,25,0.084,true
TC_06,SA,50.0,0.999,0.1,10,3,7,25,0.102,true
TC_06,SA,50.0,0.999,0.1,10,4,7,25,0.096,true
TC_06,SA,50.0,0.999,0.1,10,5,7,25,0.091,true
TC_06,SA,100.0,0.9,0.1,10,1,7,25,0.046,true
TC_06,SA,100.0,0.9,0.1,10,2,7,25,0.032,true
TC_06,SA,100.0,0.9,0.1,10,3,7,25,0.048,true
TC_06,SA,100.0,0.9,0.1,10,4,7,25,0.054,true
TC_06,SA,100.0,0.9,0.1,10,5,7,25,0.04,true
TC_06,SA,100.0,0.95,0.1,10,1,7,25,0.042,true
TC_06,SA,100.0,0.95,0.1,10,2,7,25,0.036,true
TC_06,SA,100.0,0.95,0.1,10,3,7,25,0.033,true
TC_06,SA,100.0,0.95,0.1,10,4,7,25,0.037,true
TC_06,SA,100.0,0.95,0.1,10,5,7,25,0.035,true
TC_06,SA,100.0,0.99,0.1,10,1,7,25,0.046,true
TC_06,SA,100.0,0.99,0.1,10,2,7,25,0.039,true
TC_06,SA,100.0,0.99,0.1,10,3,7,25,0.034,true
TC_06,SA,100.0,0.99,0.1,10,4,7,25,0.045,true
TC_06,SA,100.0,0.99,0.1,10,5,7,25,0.045,true
TC_06,SA,100.0,0.999,0.1,10,1,7,25,0.088,true
TC_06,SA,100.0,0.999,0.1,10,2,7,25,0.093,true
TC_06,SA,100.0,0.999,0.1,10,3,7,25,0.109,true
TC_06,SA,100.0,0.999,0.1,10,4,7,25,0.071,true
TC_06,SA,100.0,0.999,0.1,10,5,7,25,0.111,true
TC_06,SA,200.0,0.9,0.1,10,1,7,25,0.052,true
TC_06,SA,200.0,0.9,0.1,10,2,7,25,0.047,true
TC_06,SA,200.0,0.9,0.1,10,3,7,25,0.043,true
TC_06,SA,200.0,0.9,0.1,10,4,7,25,0.054,true
TC_06,SA,200.0,0.9,0.1,10,5,7,25,0.043,true
TC_06,SA,200.0,0.95,0.1,10,1,7,25,0.041,true
TC_06,SA,200.0,0.95,0.1,10,2,7,25,0.037,true
TC_06,SA,200.0,0.95,0.1,10,3,7,25,0.042,true
TC_06,SA,200.0,0.95,0.1,10,4,7,25,0.041,true
TC_06,SA,200.0,0.95,0.1,10,5,7,25,0.046,true
TC_06,SA,200.0,0.99,0.1,10,1,7,25,0.056,true
TC_06,SA,200.0,0.99,0.1,10,2,7,25,0.059,true
TC_06,SA,200.0,0.99,0.1,10,3,7,25,0.05,true
TC_06,SA,200.0,0.99,0.1,10,4,7,25,0.058,true
TC_06,SA,200.0,0.99,0.1,10,5,7,25,0.063,true
TC_06,SA,200.0,0.999,0.1,10,1,7,25,0.094,true
TC_06,SA,200.0,0.999,0.1,10,2,7,25,0.083,true
TC_06,SA,200.0,0.999,0.1,10,3,7,25,0.086,true
TC_06,SA,200.0,0.999,0.1,10,4,7,25,0.088,true
TC_06,SA,200.0,0.999,0.1,10,5,7,25,0.08,true
TC_07,SA,50.0,0.9,0.1,10,1,4,14,0.049,true
TC_07,SA,50.0,0.9,0.1,10,2,4,14,0.051,true
TC_07,SA,50.0,0.9,0.1,10,3,4,14,0.047,true
TC_07,SA,50.0,0.9,0.1,10,4,4,14,0.043,true
TC_07,SA,50.0,0.9,0.1,10,5,4,14,0.044,true
TC_07,SA,50.0,0.95,0.1,10,1,4,14,0.042,true
TC_07,SA,50.0,0.95,0.1,10,2,4,14,0.043,true
TC_07,SA,50.0,0.95,0.1,10,3,4,14,0.042,true
TC_07,SA,50.0,0.95,0.1,10,4,4,14,0.045,true
TC_07,SA,50.0,0.95,0.1,10,5,4,14,0.044,true
TC_07,SA,50.0,0.99,0.1,10,1,4,14,0.049,true
TC_07,SA,50.0,0.99,0.1,10,2,4,14,0.052,true
TC_07,SA,50.0,0.99,0.1,10,3,4,14,0.054,true
TC_07,SA,50.0,0.99,0.1,10,4,4,14,0.053,true
TC_07,SA,50.0,0.99,0.1,10,5,4,14,0.048,true
TC_07,SA,50.0,0.999,0.1,10,1,4,14,0.124,true
TC_07,SA,50.0,0.999,0.1,10,2,4,14,0.09,true
TC_07,SA,50.0,0.999,0.1,10,3,4,14,0.103,true
TC_07,SA,50.0,0.999,0.1,10,4,4,14,0.094,true
TC_07,SA,50.0,0.999,0.1,10,5,4,14,0.092,true
TC_07,SA,100.0,0.9,0.1,10,1,4,14,0.041,true
TC_07,SA,100.0,0.9,0.1,10,2,4,14,0.04,true
TC_07,SA,100.0,0.9,0.1,10,3,4,14,0.036,true
TC_07,SA,100.0,0.9,0.1,10,4,4,14,0.038,true
TC_07,SA,100.0,0.9,0.1,10,5,4,14,0.043,true
TC_07,SA,100.0,0.95,0.1,10,1,4,14,0.039,true
TC_07,SA,100.0,0.95,0.1,10,2,4,14,0.043,true
TC_07,SA,100.0,0.95,0.1,10,3,4,14,0.039,true
TC_07,SA,100.0,0.95,0.1,10,4,4,14,0.046,true
TC_07,SA,100.0,0.95,0.1,10,5,4,14,0.043,true
TC_07,SA,100.0,0.99,0.1,10,1,4,14,0.057,true
TC_07,SA,100.0,0.99,0.1,10,2,4,14,0.048,true
TC_07,SA,100.0,0.99,0.1,10,3,4,14,0.047,true
TC_07,SA,100.0,0.99,0.1,10,4,4,14,0.052,true
TC_07,SA,100.0,0.99,0.1,10,5,4,14,0.055,true
TC_07,SA,100.0,0.999,0.1,10,1,4,14,0.096,true
TC_07,SA,100.0,0.999,0.1,10,2,4,14,0.088,true
TC_07,SA,100.0,0.999,0.1,10,3,4,14,0.091,true
TC_07,SA,100.0,0.999,0.1,10,4,4,14,0.094,true
TC_07,SA,100.0,0.999,0.1,10,5,4,14,0.086,true
TC_07,SA,200.0,0.9,0.1,10,1,4,14,0.032,true
